"gridvalue","CDF","type"
775,0.80649,"Monte Carlo Simulation"
780,0.80727,"Monte Carlo Simulation"
785,0.80805,"Monte Carlo Simulation"
790,0.80883,"Monte Carlo Simulation"
795,0.80963,"Monte Carlo Simulation"
800,0.81023,"Monte Carlo Simulation"
805,0.81101,"Monte Carlo Simulation"
810,0.81168,"Monte Carlo Simulation"
815,0.81239,"Monte Carlo Simulation"
820,0.81295,"Monte Carlo Simulation"
825,0.81359,"Monte Carlo Simulation"
830,0.8145,"Monte Carlo Simulation"
835,0.81534,"Monte Carlo Simulation"
840,0.81601,"Monte Carlo Simulation"
845,0.81679,"Monte Carlo Simulation"
850,0.81744,"Monte Carlo Simulation"
855,0.81807,"Monte Carlo Simulation"
860,0.81878,"Monte Carlo Simulation"
865,0.81946,"Monte Carlo Simulation"
870,0.82007,"Monte Carlo Simulation"
875,0.82083,"Monte Carlo Simulation"
880,0.82161,"Monte Carlo Simulation"
885,0.82236,"Monte Carlo Simulation"
890,0.82292,"Monte Carlo Simulation"
895,0.82364,"Monte Carlo Simulation"
900,0.8244,"Monte Carlo Simulation"
905,0.82514,"Monte Carlo Simulation"
910,0.82582,"Monte Carlo Simulation"
915,0.82661,"Monte Carlo Simulation"
920,0.82723,"Monte Carlo Simulation"
925,0.82785,"Monte Carlo Simulation"
